id,usaf,wban,stname,ctry,fips,state,call,lat,lon,elev,count,max,min,obs
013820-99999,013820,99999,KISE PA HEDMARK,NO,NO,,,60.767,10.817,128.0,8,1980,1973,2706
013830-99999,013830,99999,EVENSTAD-OVERENGET,NO,NO,,,61.4,11.15,255.0,11,2009,1980,1797
013839-99999,013839,99999,HAMAR/STAFSBERG,NO,NO,,ENHA,60.817,11.083,233.0,1,1989,1989,65
013840-99999,013840,99999,OSLO/GARDERMOEN,NO,NO,,ENGM,60.2,11.083,204.0,48,2009,1940,17166
013850-99999,013850,99999,HAMER,NO,NO,,,60.817,11.067,221.0,4,2009,2006,979
013890-99999,013890,99999,RENA-HAUGEDALEN,NO,NO,,,61.167,11.45,240.0,25,2009,1978,7493
013910-99999,013910,99999,FLISA,NO,NO,,,60.617,12.017,188.0,6,1996,1987,7
013920-99999,013920,99999,FLISA II,NO,NO,,,60.617,12.017,186.0,5,2009,2005,1576
013930-99999,013930,99999,DREVSJO,NO,NO,,,61.883,12.05,674.0,9,2009,1996,2392
013970-99999,013970,99999,TRYSIL VEGSTASJON,NO,NO,,,61.3,12.267,360.0,7,2009,2003,2033
014000-99999,014000,99999,EKOFISK,NO,NO,,,56.9,3.35,29.0,12,2009,1998,3804
014010-99999,014010,99999,FRIGG,NO,NO,,,59.983,2.25,48.0,4,2006,2001,575
014030-99999,014030,99999,UTSIRA FYR,NO,NO,,,59.3,4.883,56.0,37,2009,1973,13241
014033-99999,014033,99999,EKOFISK OIL PLTFRM,NO,NO,,ENEK,56.55,3.25,3.0,29,2009,1981,10222
014035-99999,014035,99999,KARMOY,NO,NO,,,59.35,5.217,23.0,10,1984,1975,3071
014060-99999,014060,99999,SLATTEROY FYR,NO,NO,,,59.917,5.067,16.0,37,2009,1973,12528
014080-99999,014080,99999,HAUGESUND/KARMOY,NO,NO,,ENHD,59.35,5.217,24.0,26,2009,1984,8990
014110-99999,014110,99999,KVITSOY NORDBO,NO,NO,,,59.067,5.417,22.0,5,2009,2005,1434
